,Make,Colour,Odometer (KM),Doors,Price
173,Toyota,Black,149112,4,6905
174,Nissan,Blue,187750,4,8054
175,Nissan,Black,102545,4,6644
176,Nissan,Red,132164,4,16255
177,BMW,Red,204322,4,9441
178,Honda,White,65745,4,25980
179,Honda,Blue,72497,4,18556
180,Toyota,Blue,176254,4,2249
181,Honda,White,97174,4,14721
182,Nissan,Blue,196212,4,2896
183,Honda,Red,242059,4,0
184,Honda,Blue,46062,3,29009
185,Toyota,White,170663,4,8441
186,Honda,Red,176084,4,4593
187,Toyota,White,26913,4,8507
188,Toyota,White,171539,4,3376
189,Nissan,Black,148218,4,5127
190,BMW,White,139472,4,18157
191,Nissan,Blue,215056,4,0
192,Toyota,Red,74638,4,20429
193,Toyota,Green,141604,4,6938
194,Toyota,White,161920,4,8713
195,Nissan,Green,214124,4,0
196,Honda,Black,129194,4,15405
197,Toyota,White,86307,4,34188
198,Toyota,Blue,213115,4,0
199,Toyota,Green,231924,4,0
200,Honda,Blue,227032,4,0
201,Toyota,Red,110214,4,8682
202,Toyota,Blue,170106,4,6042
203,Toyota,Green,247830,4,0
204,Nissan,White,127089,4,13483
205,BMW,White,216952,5,8198
206,Toyota,Red,215985,4,0
207,Toyota,Blue,55570,4,18134
208,Honda,Red,54453,4,15451
209,Toyota,Blue,196469,4,7518
210,Nissan,White,205027,4,0
211,Toyota,White,166441,4,11093
212,Honda,Blue,75901,4,11469
213,Honda,White,148892,4,14126
214,BMW,Blue,133554,5,12232
215,Toyota,Red,232016,4,0
216,Nissan,White,169572,4,5919
217,Toyota,Red,35117,4,24833
218,Toyota,Blue,230918,4,0
219,Nissan,Blue,62582,4,31221
220,BMW,White,67438,5,24202
221,Honda,Red,157662,4,4676
222,Nissan,White,182025,4,7796
223,Nissan,Blue,196876,4,3907
224,Toyota,Blue,111800,4,5458
225,Honda,White,245299,4,0
226,Toyota,Black,246767,4,0
227,Nissan,White,171860,4,3753
228,Honda,Red,105382,4,15465
229,Nissan,White,168912,4,11804
230,Nissan,White,90220,4,17525
231,Toyota,White,94490,4,34448
232,Nissan,Black,123813,4,10820
233,Honda,Blue,241284,3,0
234,Toyota,White,192665,4,11030
235,BMW,Black,77897,5,50781
236,Toyota,White,141695,4,15779
237,Toyota,Blue,93738,4,35743
238,Honda,Black,230093,4,0
239,Honda,White,236164,3,0
240,Toyota,White,24355,4,32509
241,Toyota,White,238996,4,0
242,BMW,White,188481,5,18462
243,Honda,Red,50780,4,14148
244,Honda,White,63016,4,17391
245,Nissan,White,76820,4,10498
246,Toyota,Black,71595,4,9967
247,Nissan,Blue,242555,4,0
248,Honda,Green,217478,4,0
249,Toyota,White,211950,4,0
250,Honda,White,188047,3,3020
251,Honda,White,137952,4,8684
252,Honda,Blue,82473,4,19244
253,Toyota,Blue,36720,4,7888
254,Honda,White,61939,4,23111
255,Toyota,Blue,212179,4,0
256,Honda,Red,175829,4,7480
257,BMW,Red,235056,4,5745
258,Toyota,Blue,140749,4,4608
259,Toyota,Blue,114481,4,4984
260,Nissan,Red,218812,4,0
261,Honda,Red,41831,3,8207
262,Nissan,Blue,199777,4,3656
263,Honda,Blue,78956,4,10792
264,Honda,Blue,100648,4,2849
265,Toyota,Blue,31365,4,22753
266,Nissan,White,194356,4,3721
267,Toyota,White,154611,4,8706
268,BMW,Black,184525,5,18314
269,BMW,White,84050,5,36155
270,Toyota,Blue,22987,4,26896
271,Honda,Blue,175261,4,9070
272,Honda,White,118797,4,6728
273,Toyota,Blue,184871,4,5725
274,Toyota,White,21067,4,30704
275,Toyota,White,62308,4,23756
276,Toyota,Green,89764,4,13694
277,Toyota,Blue,222519,4,0
278,Toyota,White,74694,4,31024
279,Toyota,Blue,148478,4,9451
280,BMW,Green,236623,4,6059
281,Toyota,Blue,40458,4,28906
282,Toyota,Blue,121075,4,17580
283,Toyota,Green,124240,4,4660
284,Honda,Blue,177642,4,9084
285,Toyota,Blue,56138,4,14688
286,Nissan,Blue,32160,4,30713
287,Nissan,Blue,166338,4,10414
288,Nissan,White,129363,4,15962
289,Toyota,White,96397,4,31984
290,Honda,White,233763,3,0
291,Toyota,Green,230434,4,0
292,Toyota,Blue,199382,4,10504
293,Honda,Blue,148123,4,3314
294,Nissan,Blue,211502,4,0
295,Nissan,Blue,188245,4,11094
296,Honda,White,88696,4,26694
297,Honda,Green,23239,4,18313
298,BMW,White,187968,5,23740
299,Toyota,Blue,129795,4,17245
300,Nissan,Blue,238544,4,0
301,Toyota,Blue,138026,4,4697
302,BMW,Black,47236,5,12742
303,Honda,White,168511,4,5120
304,Honda,Black,78206,4,20598
305,Toyota,White,14278,4,7901
306,Toyota,Blue,141833,4,13980
307,Toyota,White,237852,4,0
308,Toyota,Blue,32450,4,30392
309,Nissan,Red,159686,4,9532
310,Nissan,White,220465,4,0
311,Toyota,Blue,126015,4,4328
312,Toyota,White,179472,4,12835
313,Honda,Blue,145861,4,14575
314,Honda,White,229064,3,0
315,Honda,White,160439,4,4552
316,Toyota,Green,173334,4,8777
317,BMW,Black,243930,5,6220
318,Toyota,White,52132,4,17293
319,Toyota,Black,151541,4,10000
320,Honda,Blue,197633,4,3050
321,Honda,Blue,198575,4,10511
322,Toyota,White,45272,4,26671
323,BMW,Black,120781,4,22810
324,Honda,Blue,195280,4,5435
325,Honda,Black,191862,3,2204
326,Honda,Blue,13844,3,10239
327,Toyota,Black,82619,4,12488
328,Honda,Blue,42745,3,20130
329,Honda,Green,197952,4,8377
330,Toyota,Green,94045,4,30377
331,Toyota,Blue,54278,4,21107
332,Honda,Black,136232,4,11239
333,Honda,Red,157176,4,7003
334,Honda,Black,38230,3,14120
335,BMW,Black,44992,4,20950
336,Toyota,White,77541,4,18744
337,Nissan,White,229012,4,0
338,Nissan,Blue,241397,4,0
339,Nissan,White,244692,4,0
340,Honda,White,179785,4,10718
341,Toyota,Blue,38757,4,15774
342,BMW,Blue,119710,5,8623
343,Honda,Black,76535,4,27237
344,Toyota,Black,171176,4,2854
345,Nissan,Black,205933,4,0
346,Toyota,White,131700,4,8812
347,Honda,Red,30468,4,18831
348,Toyota,White,118172,4,11976
349,Honda,White,197936,3,3634
350,Toyota,Red,117342,4,18256
351,BMW,White,124581,4,11622
352,Honda,Blue,249974,4,0
353,Toyota,White,19978,4,7351
354,BMW,Green,208768,4,6512
355,Toyota,Blue,25291,4,30623
356,Nissan,White,97714,4,25713
357,BMW,Blue,19350,5,37070
358,Toyota,White,27470,4,12017
359,Toyota,Red,70685,4,23849
360,Nissan,Blue,246170,4,0
361,Toyota,Green,33797,4,31849
362,Honda,Blue,230062,4,0
363,Honda,Black,170287,4,6544
364,Toyota,Black,124708,4,10967
365,Honda,Blue,75999,4,11256
366,Honda,Blue,190604,4,9590
367,BMW,Green,236347,4,6950
368,Nissan,Red,155086,4,2885
369,Nissan,White,44647,4,31835
370,Toyota,White,145139,4,11674
371,Toyota,Blue,72058,4,30709
372,Honda,White,174190,4,7768
373,Honda,White,93775,3,7688
374,Nissan,Red,223113,4,0
375,Toyota,White,83125,4,24263
376,Toyota,White,103927,4,12676
377,Honda,Blue,53545,4,15183
378,Nissan,Blue,221912,4,0
379,Toyota,White,44543,4,31165
380,BMW,Green,92613,4,27197
381,Honda,Blue,172222,4,5539
382,Honda,White,108303,4,7905
383,Nissan,White,244470,4,0
384,BMW,White,136217,5,18698
385,BMW,White,139771,5,28837
386,Nissan,Red,225739,4,0
387,Honda,White,231702,3,0
388,Toyota,Blue,198907,4,12464
389,Toyota,Blue,165141,4,2810
390,Honda,Green,188696,4,7877
391,Toyota,White,115206,4,18322
392,BMW,Blue,34026,4,27142
393,Honda,Green,238510,4,0
394,Toyota,White,248411,4,0
395,Toyota,Green,99852,4,18806
396,Nissan,White,146724,4,3631
397,Toyota,White,63978,4,7176
398,Toyota,White,101300,4,16711
399,Toyota,White,230657,4,0
400,Toyota,White,182717,4,7104
401,Toyota,White,25117,4,12743
402,Toyota,Blue,42714,4,11182
403,Toyota,White,109792,4,18650
404,BMW,Green,105638,4,15869
405,BMW,Black,51864,5,43864
406,Honda,Black,166481,4,3292
407,Toyota,White,45131,4,32534
408,Toyota,Red,218928,4,0
409,Toyota,Blue,34848,4,8234
410,Toyota,White,167936,4,10928
411,Honda,Blue,99841,4,22212
412,Honda,White,104459,3,15351
413,Toyota,Blue,249385,4,0
414,Toyota,White,144719,4,8054
415,Toyota,White,113466,4,11244
416,Toyota,Blue,92222,4,34745
417,Nissan,Blue,206849,4,0
418,Honda,Green,60608,4,8794
419,Toyota,White,225401,4,0
420,Toyota,White,79199,4,13729
421,Toyota,Blue,139850,4,3956
422,Honda,White,148085,4,10124
423,Honda,Green,43121,4,29209
424,Honda,Blue,94099,4,25818
425,Toyota,Blue,168265,4,3863
426,Honda,White,29022,4,8513
427,Honda,Blue,202645,3,0
428,Honda,Green,72591,4,13572
429,Toyota,Blue,120701,4,5971
430,Nissan,White,126659,4,4739
431,Honda,White,93186,4,20620
432,Honda,White,249234,4,0
433,BMW,White,77255,5,29262
434,Honda,White,229199,4,0
435,Toyota,Blue,166280,4,12206
436,Honda,White,210364,3,0
437,Toyota,White,222102,4,0
438,Honda,White,245618,4,0
439,Toyota,White,73655,4,20214
440,Toyota,White,109543,4,10159
441,Toyota,White,236941,4,0
442,Nissan,Blue,203548,4,0
443,Toyota,Black,14843,4,27659
444,Toyota,Black,138562,4,10518
445,Nissan,Green,33195,4,5737
446,Honda,Blue,17246,4,9250
447,BMW,White,129721,5,20201
448,Toyota,White,100653,4,10906
449,Nissan,Blue,202764,4,0
450,Honda,Blue,144370,4,5611
451,Honda,Blue,240206,4,0
452,Honda,White,106059,3,6524
453,Nissan,Blue,196895,4,3430
454,Toyota,White,112808,4,9492
455,Toyota,White,26034,4,17641
456,Honda,White,150460,3,6475
457,Toyota,Black,239965,4,0
458,Nissan,White,51841,4,18246
459,Toyota,Blue,227975,4,0
460,Honda,Blue,238119,4,0
461,Honda,White,105096,3,8826
462,Toyota,Blue,31560,4,16060
463,Nissan,Black,155507,4,3130
464,Nissan,White,104144,4,16792
465,Nissan,Blue,146418,4,17257
466,Honda,White,232236,3,0
467,Nissan,White,88776,4,31794
468,Honda,Blue,14093,4,24665
469,Honda,White,141635,4,14722
470,Nissan,White,219548,4,0
471,Toyota,Green,194754,4,2723
472,Toyota,White,104877,4,11501
473,Toyota,Green,41448,4,31517
474,Nissan,White,75001,4,27345
475,Toyota,White,185430,4,5420
476,Nissan,White,118433,4,17930
477,Toyota,White,91786,4,17670
478,Toyota,White,136761,4,9328
479,Nissan,Red,175339,4,5873
480,Toyota,White,200018,4,0
481,Toyota,Red,115271,4,9838
482,Toyota,Green,14000,4,11365
483,Honda,Blue,112056,4,3536
484,BMW,Blue,43757,5,21446
485,BMW,White,176508,5,21950
486,Nissan,White,116330,4,5155
487,Toyota,White,17200,4,33304
488,Toyota,White,200000,4,5410
489,Toyota,White,180375,4,3520
490,Nissan,White,16792,4,24019
491,Honda,White,249206,4,0
492,Toyota,Blue,13975,4,14140
493,Toyota,White,163042,4,5026
494,Nissan,White,120550,4,13862
495,Honda,Red,220734,3,0
496,Honda,Green,55886,3,27412
497,BMW,Green,155755,5,17878
498,Toyota,Blue,248982,4,0
499,Honda,White,245241,4,0
500,Nissan,Red,216517,4,0
501,Toyota,White,129932,4,5422
502,Nissan,Red,116548,4,3864
503,Toyota,White,194079,4,6634
504,Toyota,White,72268,4,22142
505,Toyota,White,65064,4,34123
506,BMW,Blue,52108,5,23761
507,Toyota,Blue,14044,4,9906
508,Toyota,Blue,226583,4,0
509,Honda,White,193398,4,3677
510,Nissan,Blue,215741,4,0
511,Nissan,Blue,15591,4,23630
512,Honda,Black,169493,4,5710
513,Toyota,Blue,98122,4,27282
514,Toyota,Blue,242467,4,0
515,Toyota,White,177232,4,7986
516,Toyota,Red,146823,4,12479
517,Nissan,Blue,33079,4,10761
518,Nissan,White,73629,4,31551
519,Honda,White,173386,3,4968
520,Nissan,Blue,29982,4,24521
521,Honda,Black,219409,4,0
522,Toyota,Red,202285,4,0
523,Nissan,Blue,224191,4,0
524,Toyota,White,191616,4,8683
525,Toyota,Blue,55411,4,19748
526,Toyota,Blue,15782,4,21566
527,Honda,Blue,101003,4,4546
528,Nissan,White,90847,4,32138
529,Nissan,White,114753,4,6124
530,Nissan,White,221313,4,0
531,Toyota,White,31111,4,17507
532,Honda,White,137952,4,14042
533,Toyota,Red,214221,4,0
534,Honda,White,122270,4,3878
535,BMW,Black,29932,5,25717
536,BMW,White,72668,5,34258
537,Honda,Red,150130,4,4337
538,Nissan,Blue,133317,4,11686
539,BMW,Black,236710,5,5867
540,Nissan,White,57371,4,16044
541,Honda,Red,51609,4,27048
542,Toyota,White,19696,4,9356
543,Honda,Blue,175129,4,3952
544,Honda,Green,44908,3,19014
545,Nissan,White,235635,4,0
546,Toyota,White,231674,4,0
547,BMW,Red,226081,5,9170
548,Honda,Blue,174454,4,8940
549,Toyota,White,35897,4,35500
550,Toyota,Blue,10759,4,19415
551,Honda,Black,172812,4,2658
552,Toyota,Black,102150,4,12136
553,Honda,White,63960,4,7677
554,Toyota,White,149166,4,12962
555,Nissan,Black,85842,4,23807
556,Honda,Blue,133885,4,10448
557,Toyota,Blue,44299,4,14000
558,Toyota,White,25245,4,28826
559,BMW,White,89037,5,32614
560,BMW,White,233004,5,8568
561,Toyota,Green,69036,4,29494
562,Toyota,Green,16546,4,14648
563,Toyota,Blue,81276,4,17437
564,Honda,White,59715,4,12391
565,Toyota,White,167988,4,3558
566,BMW,Blue,34165,4,50794
567,Honda,Blue,122528,4,6830
568,Toyota,Red,18782,4,24787
569,Nissan,White,154633,4,4556
570,Nissan,Red,106587,4,16052
571,BMW,Blue,240966,5,5739
572,Honda,Red,179230,4,6105
573,Nissan,Blue,10973,4,25143
574,Honda,White,201797,4,0
575,Toyota,Blue,211883,4,0
576,Honda,White,25456,4,21358
577,Honda,White,208263,4,0
578,Honda,White,247895,3,0
579,Honda,Blue,227778,3,0
580,Toyota,Black,126118,4,11251
581,Toyota,Blue,58487,4,27356
582,Toyota,Blue,203182,4,0
583,Toyota,White,180616,4,6896
584,Nissan,Red,37132,4,23400
585,Nissan,White,100536,4,12285
586,BMW,White,147815,5,15173
587,Toyota,White,145004,4,5664
588,Honda,Blue,18607,4,9996
589,Toyota,Blue,101494,4,4133
590,Honda,White,187875,4,2694
591,Honda,Blue,192152,4,2344
592,Honda,White,218795,3,0
593,Toyota,White,55823,4,22696
594,Honda,White,55194,4,29175
595,Toyota,Green,29111,4,26953
596,BMW,White,37278,4,52628
597,Toyota,Blue,12881,4,21563
598,Honda,Blue,60371,3,12420
599,Honda,Blue,241437,3,0
600,Honda,White,38679,4,8976
601,Honda,Blue,94044,4,14768
602,Toyota,White,114291,4,16718
603,Honda,Blue,110182,4,4398
604,Toyota,White,125033,4,19176
605,Honda,White,248532,4,0
606,Nissan,Black,84639,4,18060
607,Toyota,White,236834,4,0
608,Toyota,White,184436,4,3832
609,Nissan,Black,85315,4,30576
610,Nissan,Blue,213732,4,0
611,Honda,Blue,105674,4,10162
612,Honda,Blue,152904,4,4769
613,Honda,Red,141686,4,7570
614,Nissan,Blue,236974,4,0
615,Nissan,White,126718,4,16073
616,Honda,White,25211,4,8400
617,Honda,White,203532,4,0
618,BMW,Black,111934,4,10590
619,Nissan,Red,73428,4,11069
620,Nissan,Red,200129,4,0
621,Toyota,Black,240715,4,0
622,Toyota,Black,172439,4,12455
623,Toyota,Blue,123636,4,19493
624,Nissan,Red,94373,4,5723
625,Toyota,White,84714,4,7987
626,Toyota,Black,188820,4,5393
627,Toyota,White,62345,4,8764
628,Toyota,Green,163211,4,12031
629,Nissan,Red,244082,4,0
630,Toyota,White,116206,4,12361
631,Toyota,White,202961,4,0
632,Nissan,Blue,16338,4,16083
633,Toyota,White,12444,4,7715
634,Toyota,White,104168,4,12121
635,Toyota,White,161157,4,3725
636,Toyota,Red,155409,4,5680
637,Honda,White,94654,4,23313
638,Honda,Blue,72806,3,8750
639,Nissan,White,170729,4,4035
640,Honda,Blue,205440,4,0
641,Honda,Blue,242785,3,0
642,Honda,Black,134734,4,15739
643,Honda,White,195625,4,8507
644,Honda,Green,144057,4,8854
645,Honda,Blue,214347,4,0
646,Toyota,Black,168295,4,2449
647,Toyota,Blue,66450,4,25120
648,Toyota,White,159599,4,6826
649,Honda,Blue,241706,3,0
650,BMW,Blue,10215,4,20132
651,Toyota,Blue,46958,4,25432
652,Nissan,Red,52504,4,32127
653,BMW,Blue,165169,4,9396
654,Honda,White,213132,4,0
655,BMW,Blue,168500,5,14416
656,Nissan,White,71282,4,18993
657,Nissan,Black,141662,4,14813
658,Nissan,Black,35950,4,13592
659,Toyota,Blue,163979,4,5626
660,Toyota,Red,36689,4,34416
661,Honda,Black,23676,4,13510
662,Honda,White,126890,4,13486
663,BMW,Red,27936,4,42237
664,Honda,Blue,138207,4,7858
665,Nissan,Blue,99724,4,21958
666,BMW,Green,175291,5,7070
667,Nissan,White,205343,4,0
668,Honda,White,194971,4,2360
669,Nissan,Blue,181311,4,6233
670,Honda,White,208859,4,0
671,Honda,White,193669,4,4019
672,Honda,Red,158805,4,5089
673,Honda,White,64298,4,25824
674,Toyota,White,242277,4,0
675,Toyota,Blue,21251,4,32026
676,Honda,Blue,237956,4,0
677,Honda,Green,106554,4,16433
678,Honda,White,64042,4,9970
679,BMW,White,205176,5,4216
680,Nissan,Black,197075,4,3607
681,Toyota,Green,192050,4,10799
682,Nissan,Blue,39588,4,30603
683,Nissan,Blue,178280,4,11580
684,Toyota,White,188867,4,12390
685,Honda,Blue,94746,4,12165
686,Honda,Blue,82447,3,13452
687,Honda,Blue,61791,4,19019
688,Toyota,White,184989,4,7824
689,Honda,White,176189,4,6062
690,Toyota,Red,185349,4,7130
691,Toyota,Blue,166177,4,3721
692,Toyota,Blue,126394,4,10277
693,Toyota,Red,194658,4,7310
694,Nissan,Blue,125133,4,14786
695,Honda,White,192423,4,5057
696,Toyota,Green,136650,4,16261
697,Nissan,White,39870,4,18335
698,BMW,Black,98061,4,21463
699,Honda,Blue,108805,4,16264
700,Toyota,Blue,197700,4,9468
701,Honda,Blue,23287,4,20056
702,Toyota,Blue,114608,4,12205
703,Nissan,White,165951,4,3034
704,Toyota,White,150652,4,9416
705,BMW,White,138103,5,11134
706,Nissan,White,127687,4,15224
707,Honda,Blue,167854,4,4516
708,Toyota,Blue,216711,4,0
709,Honda,Black,37851,4,22132
710,Nissan,Red,176775,4,11816
711,BMW,Black,199775,5,16671
712,Nissan,White,223469,4,0
713,Honda,Green,102164,3,3235
714,Honda,White,16720,4,7372
715,BMW,Red,117579,5,19774
716,Toyota,White,27102,4,6660
717,Toyota,Green,234977,4,0
718,Toyota,Blue,61792,4,13319
719,Honda,Blue,167978,4,6461
720,BMW,White,230147,5,4970
721,BMW,White,102051,5,23227
722,Honda,Black,56381,4,15972
723,Toyota,Blue,211109,4,0
724,Honda,Red,156505,3,7012
725,Nissan,White,85712,4,30490
726,Toyota,White,227517,4,0
727,Honda,Blue,89822,4,17931
728,Honda,White,91809,3,27539
729,Honda,White,231913,4,0
730,Honda,Black,97425,4,26301
731,Toyota,Red,118379,4,14167
732,Toyota,White,159993,4,9830
733,Toyota,Black,39598,4,22381
734,Toyota,Blue,131966,4,14130
735,Honda,Green,183101,4,7106
736,Honda,Blue,75897,4,17709
737,Toyota,White,111132,4,5921
738,Honda,White,180376,4,9145
739,BMW,White,134907,5,25078
740,Honda,Blue,161399,4,9123
741,Nissan,Green,245047,4,0
742,Honda,White,51794,3,6046
743,Nissan,Blue,117936,4,10219
744,BMW,White,115427,5,30918
745,Toyota,Green,218410,4,0
746,Nissan,White,221286,4,0
747,Toyota,Blue,18090,4,29092
748,Honda,Blue,200550,4,0
749,Nissan,Black,108345,4,11099
750,BMW,Black,218479,4,4601
751,Nissan,Red,226576,4,0
752,Honda,White,179462,4,9237
753,Toyota,Blue,130712,4,11696
754,Toyota,Black,85293,4,6244
755,Toyota,Green,70468,4,17348
756,Nissan,White,133295,4,11900
757,Honda,Black,161600,4,4657
758,Nissan,Blue,235990,4,0
759,Honda,Blue,187062,4,3013
760,Nissan,White,24610,4,11779
761,BMW,Blue,198544,5,13138
762,Toyota,Blue,38471,4,18918
763,Toyota,White,197220,4,4153
764,Honda,White,57088,4,20428
765,Toyota,White,193120,4,8146
766,Toyota,White,189440,4,8587
767,Honda,White,193187,4,2361
768,BMW,Blue,203583,5,9729
769,Honda,Blue,41717,4,14637
770,Toyota,White,62672,4,8479
771,Toyota,Blue,36191,4,32380
772,Toyota,Blue,41074,4,11622
773,Honda,White,236255,4,0
774,Nissan,Blue,187267,4,9677
775,Honda,White,205589,4,0
776,Nissan,Blue,208634,4,0
777,Toyota,Blue,34744,4,18793
778,Nissan,White,60418,4,14608
779,Honda,Green,26854,4,6245
780,Toyota,Green,78306,4,35814
781,Toyota,Blue,39674,4,15270
782,Nissan,Blue,53660,4,21355
783,Nissan,Green,143162,4,13375
784,Toyota,White,156213,4,7904
785,Toyota,White,78394,4,34632
786,Honda,Blue,57463,4,24641
787,Toyota,Red,169842,4,5647
788,BMW,Black,156492,4,21688
789,Honda,White,249584,4,0
790,Nissan,White,157318,4,10875
791,Honda,Blue,44947,4,10830
792,Toyota,White,197758,4,3426
793,Nissan,Blue,174200,4,2159
794,Toyota,White,41086,4,17255
795,Toyota,Blue,66492,4,7908
796,Honda,White,139744,4,13756
797,Honda,Blue,234890,4,0
798,Nissan,Red,207114,4,0
799,Honda,Black,209237,4,0
800,Honda,Blue,15027,3,5091
801,Toyota,Red,185173,4,12924
802,Honda,Blue,114079,4,9945
803,Toyota,White,10712,4,28280
804,BMW,White,111444,5,20054
